epoch,train_mse,val_mse
1,0.6511100121028908,0.38865263857574106
2,0.39179821134500026,0.3366655090025493
3,0.3341422764831869,0.2951983586848976
4,0.29825054385896305,0.2622637446417668
5,0.27305499967904145,0.24716316496776802
6,0.254752904581577,0.22730673686445793
7,0.23779154812149203,0.2102422662904966
8,0.22483218568564314,0.19186890247627317
9,0.2121940038924597,0.18425748127205507
10,0.19861467505036617,0.19075644789673935
11,0.19223799846931092,0.16714678215327983
12,0.184141498270523,0.16736230440686478
13,0.1790602796304964,0.1543390519509169
14,0.17208118619546178,0.1435546424682532
15,0.16826638474742964,0.1413886657504437
16,0.15973213579983528,0.142583695940365
17,0.16093971720904252,0.14334904027975925
18,0.153309738363905,0.13675387517035564
19,0.15334294841010973,0.13147565118660118
20,0.14560369979528914,0.12602360980294258
21,0.14635744471682016,0.13301647961816102
22,0.14041166204304445,0.12295979155956187
23,0.1394672389228116,0.11857562866285742
24,0.1368486097352317,0.11669203928001573
25,0.1338282441711044,0.11473907959039444
26,0.1341067590250932,0.11687721280214465
27,0.13137239862985065,0.11345715998847271
28,0.12962696812199911,0.11940509571789581
29,0.12637757180621145,0.10910576496407569
30,0.12345077042865699,0.10964091440466281
31,0.1255336685158631,0.10732129208236256
32,0.12560536321074126,0.10606056434886955
33,0.12054249012903238,0.10636680530700011
34,0.1200321774003367,0.1011992480571025
35,0.11962680823980577,0.10617892215344234
36,0.11795134806171023,0.10491646869040937
37,0.11729602969998576,0.10442315482687409
38,0.11237333505284576,0.09885261607703284
39,0.11529665310231466,0.10489367152028313
40,0.11342572527378904,0.10343930496770803
41,0.11331766570192302,0.10184966109305103
42,0.11033636397188967,0.10520223758925742
43,0.10838754834700735,0.09712785481909247
44,0.1087653845576331,0.09201798202576879
45,0.10618680002465876,0.09638151107666808
46,0.10744042715877315,0.09249763458330577
47,0.10855911667001242,0.08918727735413091
48,0.1038055889559895,0.09984434156794256
49,0.11074543823327576,0.09313961487507151
50,0.10454720906603239,0.09377453999422262
51,0.10716714816860216,0.0897427563305611
52,0.10403753169723698,0.09720817807121812
53,0.10553934355223109,0.0886329265885821
54,0.10485833533290424,0.09017796461807392
55,0.10150135285916902,0.08923558935582718
56,0.10162456891924701,0.08824040043915066
57,0.10073406897175215,0.0889114284159265
58,0.09753924740131331,0.08870408914296904
59,0.10276303606859762,0.08314358528071793
60,0.0973008206290236,0.09201382095608437
61,0.09779135783556005,0.0879839435816607
62,0.0984223257789161,0.08222584498024114
63,0.09859157501788213,0.08337583972790212
64,0.09482464909204065,0.08377783439148252
65,0.09665239319241509,0.09403006922209932
66,0.09987061591034503,0.07972867043815722
67,0.09339621295678621,0.08285218146996441
68,0.09448383167550131,0.08652900539099852
69,0.09462129969581862,0.08065784293337562
70,0.09548674903977297,0.08067999828920186
71,0.0929961447873955,0.08007186836250953
72,0.09052406312533157,0.0970263262994299
73,0.09080039448668546,0.07838958819385602
74,0.09136959381404736,0.07934023222036769
75,0.09398825094157084,0.07805081727468124
76,0.0903097213051886,0.0788154262149127
77,0.08951415916475704,0.07915312132098089
78,0.08905464013588031,0.08187345093556335
79,0.0904529893148334,0.075733299577268
80,0.08683308595161521,0.08153549565850335
81,0.08633368311698397,0.0766366418495834
82,0.08727870784975865,0.07785223079509586
83,0.0871680073624395,0.07882229630177584
84,0.08640118647751917,0.0817329098131055
85,0.08741973243556819,0.07367167807369429
86,0.09016132483973484,0.0860454820852493
87,0.08678409670187001,0.07887441629123625
88,0.08857952776417855,0.07729719714752743
89,0.08698098586724924,0.08054166337417984
90,0.08513178077592846,0.08121010680273871
91,0.0861251581730325,0.07875191514319349
92,0.08492300407549487,0.07453300887457678
93,0.08787841164880807,0.07501023657649795
94,0.08351618158498514,0.08407531895280601
95,0.0856410325283096,0.07952900842896529
