epoch,train_mse,val_mse
1,0.8792785708440248,0.9242200401819277
2,0.8629159514320676,0.8557136402588502
3,0.8558197466921059,0.8664647076572373
4,0.8532938801234805,0.8439696981846411
5,0.8513575926131144,0.8414680989625776
6,0.8576130131087759,0.8411058127004728
7,0.8549466981714621,0.8467422952161772
8,0.8504955482793165,0.8439643719645145
9,0.8460826218579949,0.8492206755244684
10,0.8520880574305887,0.836295656113822
11,0.847995651700748,0.8407229512969706
12,0.8560541034528971,0.8416932187029452
13,0.8538253622370081,0.8513313207193434
14,0.8507729315474772,0.840178013882427
15,0.8490161572030459,0.8365872297013236
16,0.8471557702967729,0.8356955481944319
17,0.8491203603904066,0.8380424102571842
18,0.8519893663133757,0.8602745203532587
19,0.848682118590666,0.849995962051906
20,0.8498549118294969,0.8364664318564737
21,0.8503397771529028,0.8419181040036822
22,0.8510354604909267,0.8804533850048508
23,0.8494798172855009,0.8406416225497013
24,0.846320705711799,0.8403604216028119
25,0.8468712890981759,0.8395483876579753
26,0.8509120642840564,0.8403104108388975
