epoch,train_mse,val_mse
1,0.9442659532428895,0.860038359111078
2,0.8600787112219521,0.8455014758020918
3,0.8555480184497776,0.8380603424219965
4,0.8523292683760666,0.8422891760222584
5,0.8544105842664793,0.8510274038773195
6,0.8506543645271668,0.8396110015813117
7,0.8461663532492328,0.8449992944942775
8,0.8489813705498477,0.8485220208346287
9,0.8463929289147252,0.8339560299276192
10,0.8458939019436661,0.8359680187718095
11,0.8463199299394053,0.8547264959051389
12,0.844540926744613,0.8351957702509393
13,0.8431416969177942,0.8314722860766667
14,0.8431387209984327,0.8421800461248339
15,0.8458331291484301,0.8343582718330964
16,0.8459905604939084,0.8347478329896608
17,0.8511040304908251,0.83275237794871
18,0.8428319807849045,0.8311439114355437
19,0.8459661827098653,0.8353449410208077
20,0.8457832390208894,0.8416132759029302
21,0.8416516070507054,0.8341672028973202
22,0.8410662713010612,0.8320988154856959
23,0.8431748601989004,0.8401757517707682
24,0.8420595324603714,0.8317693639024396
25,0.8435581770813313,0.8364953201348696
26,0.8423523191353564,0.8488764041097205
27,0.8410062307829375,0.8357815555482108
28,0.8410924067061534,0.834295564802371
