model,train_mse,val_mse,test_mse,epochs_trained,stopped_early
fcn,0.05961064174217283,0.07408877670297397,0.08174928857882817,76,True
rnn,0.8456741826448696,0.8356955481944319,0.8245004134178162,26,True
lstm,0.8431115395757205,0.8311439114355437,0.8173493570486704,28,True
